image,image_id,split,source,od_x,od_y,fovea_x,fovea_y
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_334.jpg,IDRiD_334,train,idrid,3417,1670,2146,1692
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_335.jpg,IDRiD_335,train,idrid,2933,1486,1577,1456
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_336.jpg,IDRiD_336,train,idrid,1026,1070,2345,1415
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_337.jpg,IDRiD_337,train,idrid,677,1471,1970,1573
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_338.jpg,IDRiD_338,train,idrid,2780,1565,1427,1741
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_339.jpg,IDRiD_339,train,idrid,797,1430,2116,1610
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_340.jpg,IDRiD_340,train,idrid,955,1509,2315,1662
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_341.jpg,IDRiD_341,train,idrid,3076,1333,1899,1426
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_342.jpg,IDRiD_342,train,idrid,2783,1569,1491,1599
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_343.jpg,IDRiD_343,train,idrid,606,1145,1948,1359
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_344.jpg,IDRiD_344,train,idrid,3259,1438,1966,1434
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_345.jpg,IDRiD_345,train,idrid,632,1104,1892,1348
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_346.jpg,IDRiD_346,train,idrid,3263,1153,1978,1460
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_347.jpg,IDRiD_347,train,idrid,1041,1295,2341,1546
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_348.jpg,IDRiD_348,train,idrid,681,1370,1933,1610
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_349.jpg,IDRiD_349,train,idrid,557,1040,1873,1378
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_350.jpg,IDRiD_350,train,idrid,3169,1719,1749,1707
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_351.jpg,IDRiD_351,train,idrid,1303,1381,2487,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_352.jpg,IDRiD_352,train,idrid,2427,1243,1093,1198
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_353.jpg,IDRiD_353,train,idrid,943,1464,2248,1734
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_354.jpg,IDRiD_354,train,idrid,786,1254,2049,1430
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_355.jpg,IDRiD_355,train,idrid,670,1396,1918,1629
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_356.jpg,IDRiD_356,train,idrid,779,1460,2203,1460
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_357.jpg,IDRiD_357,train,idrid,3267,1340,2015,1471
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_358.jpg,IDRiD_358,train,idrid,3151,1441,1959,1430
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_359.jpg,IDRiD_359,train,idrid,1157,1374,2540,1677
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_360.jpg,IDRiD_360,train,idrid,3252,1224,1952,1374
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_361.jpg,IDRiD_361,train,idrid,1120,1157,2514,1220
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_362.jpg,IDRiD_362,train,idrid,2851,1441,1468,1629
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_363.jpg,IDRiD_363,train,idrid,2780,1314,1367,1243
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_364.jpg,IDRiD_364,train,idrid,614,1239,1877,1389
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_365.jpg,IDRiD_365,train,idrid,1015,1569,2334,1760
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_366.jpg,IDRiD_366,train,idrid,722,1284,1948,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_367.jpg,IDRiD_367,train,idrid,1022,1378,2397,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_368.jpg,IDRiD_368,train,idrid,2990,1055,1794,1247
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_369.jpg,IDRiD_369,train,idrid,670,1423,1970,1588
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_370.jpg,IDRiD_370,train,idrid,3203,1224,1974,1441
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_371.jpg,IDRiD_371,train,idrid,3098,1340,1802,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_372.jpg,IDRiD_372,train,idrid,621,1441,1805,1569
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_373.jpg,IDRiD_373,train,idrid,2937,1359,1573,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_374.jpg,IDRiD_374,train,idrid,3076,1456,1809,1464
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_375.jpg,IDRiD_375,train,idrid,891,1329,2173,1524
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_376.jpg,IDRiD_376,train,idrid,3199,1359,1742,1344
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_377.jpg,IDRiD_377,train,idrid,764,1082,2180,1408
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_378.jpg,IDRiD_378,train,idrid,2810,1303,1524,1423
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_379.jpg,IDRiD_379,train,idrid,3094,1591,1858,1603
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_380.jpg,IDRiD_380,train,idrid,722,1494,2041,1692
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_381.jpg,IDRiD_381,train,idrid,1112,1100,2461,1378
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_382.jpg,IDRiD_382,train,idrid,2918,1179,1581,1190
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_383.jpg,IDRiD_383,train,idrid,910,1520,2244,1636
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_384.jpg,IDRiD_384,train,idrid,3053,1745,1637,1839
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_385.jpg,IDRiD_385,train,idrid,3102,1363,1802,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_386.jpg,IDRiD_386,train,idrid,1153,1187,2326,1385
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_387.jpg,IDRiD_387,train,idrid,1022,1445,2510,1423
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_388.jpg,IDRiD_388,train,idrid,3121,1531,1839,1737
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_389.jpg,IDRiD_389,train,idrid,756,1681,2098,1977
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_390.jpg,IDRiD_390,train,idrid,3113,1722,1715,1711
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_391.jpg,IDRiD_391,train,idrid,677,1149,1899,1340
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_392.jpg,IDRiD_392,train,idrid,831,1449,2180,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_393.jpg,IDRiD_393,train,idrid,2892,2011,1629,2243
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_394.jpg,IDRiD_394,train,idrid,992,1426,2345,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_395.jpg,IDRiD_395,train,idrid,2772,1378,1494,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_396.jpg,IDRiD_396,train,idrid,1007,1381,2424,1588
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_397.jpg,IDRiD_397,train,idrid,2783,1441,1584,1520
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_398.jpg,IDRiD_398,train,idrid,741,1134,2135,1400
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_399.jpg,IDRiD_399,train,idrid,2907,1194,1596,1213
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_400.jpg,IDRiD_400,train,idrid,1033,1261,2360,1494
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_401.jpg,IDRiD_401,train,idrid,827,1239,2064,1483
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_402.jpg,IDRiD_402,train,idrid,726,1310,2090,1486
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_403.jpg,IDRiD_403,train,idrid,2690,1344,1318,1486
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_404.jpg,IDRiD_404,train,idrid,2858,1093,1476,1190
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_405.jpg,IDRiD_405,train,idrid,1108,1438,2484,1603
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_406.jpg,IDRiD_406,train,idrid,2926,1689,1491,1730
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_407.jpg,IDRiD_407,train,idrid,2892,1359,1569,1396
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_408.jpg,IDRiD_408,train,idrid,3267,1202,2011,1359
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_409.jpg,IDRiD_409,train,idrid,2900,1516,1536,1614
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_410.jpg,IDRiD_410,train,idrid,3035,1554,1903,1606
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_411.jpg,IDRiD_411,train,idrid,1105,1318,2412,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_412.jpg,IDRiD_412,train,idrid,3203,1711,1996,1917
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_413.jpg,IDRiD_413,train,idrid,2903,1569,1663,1580
